"TIME","R1(2)","SW1(COM)"
0,0,0
1e-08,1.24993e-06,0.03
1.084002333e-08,1.36374e-06,0.03252
1.252007e-08,1.61254e-06,0.0375602
1.588016333e-08,2.21175e-06,0.0476404
2.260034999e-08,3.83012e-06,0.067801
3.604072332e-08,8.75746e-06,0.108122
6.292146997e-08,2.53827e-05,0.188764
1.166829633e-07,8.57185e-05,0.350049
2.242059499e-07,0.000314703,0.672618
4.392519231e-07,0.00120567,1.31776
8.693438696e-07,0.00471756,2.60803
1e-06,0.00624096,3
1.258055168e-06,0.00945781,3
1.602128725e-06,0.0137419,3
2.290275839e-06,0.0222918,3
3.666570068e-06,0.0393185,3
6.419158525e-06,0.073081,3
1.192433544e-05,0.13946,3
2.293468927e-05,0.267769,3
4.495539693e-05,0.507623,3
8.899681224e-05,0.927673,3
0.0001770796428,1.57705,3
0.0003223939231,2.26309,3
0.0004869118464,2.67706,3
0.0006869118464,2.90596,3
0.0008869118464,2.9886,3
0.001086911846,3.01038,3
0.001286911846,3.01134,3
0.001686911846,3.00399,3
0.001886911846,3.00182,3
0.002086911846,3.0007,3
0.002286911846,3.00037,3
0.002486911846,3.00003,3
0.004486911846,3,3
0.004686911846,3,3
0.005001,2.99988,3
0.0050011,2.99988,2.7
0.0050013,2.99933,2.1
0.0050017,2.99679,0.9
0.005002,2.99348,0
0.00500208,2.9926,0
0.00500224,2.99062,0
0.00500256,2.98665,0
0.0050032,2.97871,0
0.00500448,2.96283,0
0.00500704,2.93139,0
0.00501216,2.86951,0
0.0050224,2.74962,0
0.00504288,2.52446,0
0.00508384,2.12657,0
0.00516576,1.50089,0
0.00528875836,0.869917,0
0.005415025465,0.483339,0
0.005531398376,0.277057,0
0.005639169525,0.164996,0
0.005744105136,0.0997455,0
0.0058558978,0.0582049,0
0.005961971334,0.0349189,0
0.006072514254,0.0204752,0
0.00617908874,0.0122436,0
0.006288234284,0.0072285,0
0.006395065484,0.00431801,0
0.006503530804,0.00255899,0
0.006610748075,0.00152622,0
0.006719017113,0.00090556,0
0.006826584812,0.00053918,0
0.006934773573,0.00032003,0
0.007042525467,0.000190359,0
0.007150617558,0.000113033,0
0.007258431151,6.72099e-05,0
0.007366435204,3.99252e-05,0
0.007474273429,2.37368e-05,0
0.0075822282,1.41043e-05,0
0.007690090824,8.38458e-06,0
0.007798027157,4.98258e-06,0
0.007905911827,2.96169e-06,0
0.00801384074,1.76007e-06,0
0.00812173846,1.04613e-06,0
0.008232987674,6.10552e-07,0
0.008364143336,3.17626e-07,0
0.008524410165,1.33224e-07,0
0.008724410165,3.32573e-08,0
0.008924410165,-4.17415e-11,0
0.009124410165,-7.1624e-09,0
0.009324410165,-6.13029e-09,0
0.009524410165,-3.71976e-09,0
0.009724410165,-1.87474e-09,0
0.009924410165,-8.09836e-10,0
0.01,-5.79881e-10,0
