"TIME","R1(1)","R1(1)","R2(1)"
0,0,0,0
2.318807664e-07,0.00262248,0.00262248,0.00261739
4.186630914e-07,0.00473492,0.00473492,0.00472429
6.677061915e-07,0.0075515,0.0075515,0.00753041
1.165792391e-06,0.0131839,0.0131839,0.0131319
2.161964792e-06,0.0244488,0.0244488,0.024292
4.154309592e-06,0.0469668,0.0469668,0.0464358
8.138999192e-06,0.0919199,0.0919199,0.089988
1.610837839e-05,0.181175,0.181175,0.173916
3.204713679e-05,0.354561,0.354561,0.327302
5.056565531e-05,0.541217,0.541217,0.47702
6.908417383e-05,0.70422,0.70422,0.591154
8.760269235e-05,0.836444,0.836444,0.665945
0.0001061212108,0.932112,0.932112,0.699294
0.0001246397293,0.987043,0.987043,0.690827
0.0001431582479,0.998834,0.998834,0.641909
0.0001616767664,0.966972,0.966972,0.555585
0.0001801952849,0.892849,0.892849,0.436456
0.0001987138034,0.779704,0.779704,0.290484
0.0002172323219,0.632482,0.632482,0.124737
0.0002357508404,0.457617,0.457617,-0.0529136
0.000254269359,0.262753,0.262753,-0.234132
0.0002727878775,0.0564044,0.0564044,-0.410478
0.000291306396,-0.152409,-0.152409,-0.573768
0.0003098249145,-0.354561,-0.354561,-0.716433
0.000328343433,-0.541217,-0.541217,-0.831844
0.0003468619516,-0.70422,-0.70422,-0.914597
0.0003653804701,-0.836444,-0.836444,-0.960748
0.0003838989886,-0.932112,-0.932112,-0.967981
0.0004024175071,-0.987043,-0.987043,-0.935708
0.0004209360256,-0.998834,-0.998834,-0.865091
0.0004394545442,-0.966972,-0.966972,-0.758991
0.0004579730627,-0.892849,-0.892849,-0.621838
0.0004764915812,-0.779704,-0.779704,-0.459439
0.0004950100997,-0.632482,-0.632482,-0.278721
0.0005135286182,-0.457617,-0.457617,-0.0874255
0.0005320471367,-0.262753,-0.262753,0.106229
0.0005505656553,-0.0564044,-0.0564044,0.293908
0.0005690841738,0.152409,0.152409,0.467527
0.0005876026923,0.354561,0.354561,0.619607
0.0006061212108,0.541217,0.541217,0.743598
0.0006246397293,0.70422,0.70422,0.83417
0.0006431582479,0.836444,0.836444,0.887448
0.0006616767664,0.932112,0.932112,0.901176
0.0006801952849,0.987043,0.987043,0.874823
0.0006987138034,0.998834,0.998834,0.809601
0.0007172323219,0.966972,0.966972,0.708418
0.0007357508404,0.892849,0.892849,0.575746
0.000754269359,0.779704,0.779704,0.417432
0.0007727878775,0.632482,0.632482,0.240436
0.000791306396,0.457617,0.457617,0.0525329
0.0008098249145,0.262753,0.262753,-0.138029
0.000828343433,0.0564044,0.0564044,-0.322891
0.0008468619516,-0.152409,-0.152409,-0.493942
0.0008653804701,-0.354561,-0.354561,-0.643681
0.0008838989886,-0.541217,-0.541217,-0.765538
0.0009024175071,-0.70422,-0.70422,-0.854167
0.0009209360256,-0.836444,-0.836444,-0.905673
0.0009394545442,-0.932112,-0.932112,-0.917786
0.0009579730627,-0.987043,-0.987043,-0.889961
0.0009764915812,-0.998834,-0.998834,-0.823397
0.0009950100997,-0.966972,-0.966972,-0.720992
0.001,-0.951057,-0.951057,-0.687624
