"TIME","R1(1)","R1(1)","R2(1)"
0,0,0,0
1.333333333e-07,0.00209437,0.00209437,5.57851e-06
1.445533072e-07,0.00227061,0.00227061,6.08737e-06
1.669932548e-07,0.00262309,0.00262309,7.19972e-06
2.118731501e-07,0.00332806,0.00332806,9.87832e-06
3.016329407e-07,0.00473799,0.00473799,1.71095e-05
4.811525219e-07,0.00755785,0.00755785,3.90982e-05
8.401916844e-07,0.0131968,0.0131968,0.000113074
1.558270009e-06,0.0244748,0.0244748,0.000379901
2.994426659e-06,0.047019,0.047019,0.00137991
5.866739958e-06,0.0920241,0.0920241,0.00517331
1.161136656e-05,0.181381,0.181381,0.0193742
2.133338128e-05,0.328867,0.328867,0.0606614
3.466671461e-05,0.518028,0.518028,0.144485
4.800004794e-05,0.684548,0.684548,0.249671
6.133338128e-05,0.82115,0.82115,0.365619
7.466671461e-05,0.921863,0.921863,0.482287
8.800004794e-05,0.982287,0.982287,0.590644
0.0001013333812,0.999781,0.999781,0.682912
0.0001146667146,0.973579,0.973579,0.75273
0.0001280000479,0.904827,0.904827,0.795267
0.0001413333812,0.796529,0.796529,0.807313
0.0001546667146,0.65342,0.65342,0.787315
0.0001680000479,0.481753,0.481753,0.735366
0.0001813333812,0.289031,0.289031,0.653144
0.0001946667146,0.083677,0.083677,0.543793
0.0002080000479,-0.125334,-0.125334,0.411751
0.0002213333812,-0.328867,-0.328867,0.262529
0.0002346667146,-0.518028,-0.518028,0.102454
0.0002480000479,-0.684548,-0.684548,-0.0616293
0.0002613333812,-0.82115,-0.82115,-0.222662
0.0002746667146,-0.921863,-0.921863,-0.373692
0.0002880000479,-0.982287,-0.982287,-0.508185
0.0003013333812,-0.999781,-0.999781,-0.620311
0.0003146667146,-0.973579,-0.973579,-0.705209
0.0003280000479,-0.904827,-0.904827,-0.759195
0.0003413333812,-0.796529,-0.796529,-0.779933
0.0003546667146,-0.65342,-0.65342,-0.766532
0.0003680000479,-0.481753,-0.481753,-0.71959
0.0003813333812,-0.289031,-0.289031,-0.64117
0.0003946667146,-0.083677,-0.083677,-0.534704
0.0004080000479,0.125334,0.125334,-0.404852
0.0004213333812,0.328867,0.328867,-0.257293
0.0004346667146,0.518028,0.518028,-0.0984791
0.0004480000479,0.684548,0.684548,0.0646462
0.0004613333812,0.82115,0.82115,0.224952
0.0004746667146,0.921863,0.921863,0.375431
0.0004880000479,0.982287,0.982287,0.509504
0.0005013333812,0.999781,0.999781,0.621313
0.0005146667146,0.973579,0.973579,0.705969
0.0005280000479,0.904827,0.904827,0.759772
0.0005413333812,0.796529,0.796529,0.780371
0.0005546667146,0.65342,0.65342,0.766864
0.0005680000479,0.481753,0.481753,0.719843
0.0005813333812,0.289031,0.289031,0.641361
0.0005946667146,0.083677,0.083677,0.534849
0.0006080000479,-0.125334,-0.125334,0.404962
0.0006213333812,-0.328867,-0.328867,0.257377
0.0006346667146,-0.518028,-0.518028,0.0985426
0.0006480000479,-0.684548,-0.684548,-0.064598
0.0006613333812,-0.82115,-0.82115,-0.224915
0.0006746667146,-0.921863,-0.921863,-0.375403
0.0006880000479,-0.982287,-0.982287,-0.509483
0.0007013333812,-0.999781,-0.999781,-0.621297
0.0007146667146,-0.973579,-0.973579,-0.705957
0.0007280000479,-0.904827,-0.904827,-0.759763
0.0007413333812,-0.796529,-0.796529,-0.780364
0.0007546667146,-0.65342,-0.65342,-0.766859
0.0007680000479,-0.481753,-0.481753,-0.719839
0.0007813333812,-0.289031,-0.289031,-0.641358
0.0007946667146,-0.083677,-0.083677,-0.534847
0.0008080000479,0.125334,0.125334,-0.404961
0.0008213333812,0.328867,0.328867,-0.257375
0.0008346667146,0.518028,0.518028,-0.0985416
0.0008480000479,0.684548,0.684548,0.0645987
0.0008613333812,0.82115,0.82115,0.224916
0.0008746667146,0.921863,0.921863,0.375403
0.0008880000479,0.982287,0.982287,0.509484
0.0009013333812,0.999781,0.999781,0.621297
0.0009146667146,0.973579,0.973579,0.705957
0.0009280000479,0.904827,0.904827,0.759763
0.0009413333812,0.796529,0.796529,0.780364
0.0009546667146,0.65342,0.65342,0.766859
0.0009680000479,0.481753,0.481753,0.719839
0.0009813333812,0.289031,0.289031,0.641358
0.0009946667146,0.083677,0.083677,0.534847
0.001,6.12323e-16,6.12323e-16,0.485076
