"TIME","R1(1)","R1(1)","R2(1)"
0,0,0,0
1.666666667e-06,0.00209437,0.00209437,6.75657e-05
1.809782869e-06,0.00227421,0.00227421,7.38642e-05
2.096015274e-06,0.0026339,0.0026339,8.76494e-05
2.668480084e-06,0.00335327,0.00335327,0.000120883
3.813409704e-06,0.00479202,0.00479202,0.000210417
6.103268944e-06,0.00766951,0.00766951,0.000479597
1.068298742e-05,0.0134237,0.0134237,0.00135796
1.984242439e-05,0.0249321,0.0249321,0.00432496
3.399690458e-05,0.0427087,0.0427087,0.0115436
5.492262958e-05,0.068963,0.068963,0.0266204
8.484170191e-05,0.106413,0.106413,0.0542324
0.0001277083041,0.159795,0.159795,0.1007
0.000190348227,0.236924,0.236924,0.174702
0.0002863686178,0.352145,0.352145,0.29059
0.0004451363793,0.530656,0.530656,0.473865
0.000611803046,0.695284,0.695284,0.645853
0.0007784697126,0.829523,0.829523,0.789498
0.0009451363793,0.927509,0.927509,0.898608
0.001111803046,0.984958,0.984958,0.968445
0.001278469712,0.99936,0.99936,0.99596
0.001445136379,0.970085,0.970085,0.979948
0.001611803046,0.898413,0.898413,0.921107
0.001778469712,0.787475,0.787475,0.82201
0.001945136379,0.642121,0.642121,0.686987
0.002111803046,0.468704,0.468704,0.521939
0.002278469712,0.274801,0.274801,0.33408
0.002445136379,0.068889,0.068889,0.13162
0.002611803046,-0.140034,-0.140034,-0.0765926
0.002778469712,-0.342837,-0.342837,-0.281458
0.002945136379,-0.530656,-0.530656,-0.474021
0.003111803046,-0.695284,-0.695284,-0.645868
0.003278469712,-0.829523,-0.829523,-0.789488
0.003445136379,-0.927509,-0.927509,-0.898602
0.003611803046,-0.984958,-0.984958,-0.968444
0.003778469712,-0.99936,-0.99936,-0.99596
0.003945136379,-0.970085,-0.970085,-0.979948
0.004111803046,-0.898413,-0.898413,-0.921107
0.004278469712,-0.787475,-0.787475,-0.82201
0.004445136379,-0.642121,-0.642121,-0.686987
0.004611803046,-0.468704,-0.468704,-0.521939
0.004778469712,-0.274801,-0.274801,-0.33408
0.004945136379,-0.068889,-0.068889,-0.13162
0.005111803046,0.140034,0.140034,0.0765926
0.005278469712,0.342837,0.342837,0.281458
0.005445136379,0.530656,0.530656,0.474021
0.005611803046,0.695284,0.695284,0.645868
0.005778469712,0.829523,0.829523,0.789488
0.005945136379,0.927509,0.927509,0.898602
0.006111803046,0.984958,0.984958,0.968444
0.006278469712,0.99936,0.99936,0.99596
0.006445136379,0.970085,0.970085,0.979948
0.006611803046,0.898413,0.898413,0.921107
0.006778469712,0.787475,0.787475,0.82201
