"TIME","R1(1)","R1(1)","R2(1)"
0,0,0,0
8e-06,0.0100529,0.0100529,0.00167509
1.6e-05,0.0201048,0.0201048,0.00335002
3.2e-05,0.0402015,0.0402015,0.00669869
6.4e-05,0.0803381,0.0803381,0.0133865
0.000128,0.160157,0.160157,0.0266865
0.000228,0.282609,0.282609,0.0470905
0.000328,0.400605,0.400605,0.0667519
0.000428,0.512283,0.512283,0.0853605
0.000528,0.615882,0.615882,0.102623
0.000628,0.709767,0.709767,0.118267
0.000728,0.79246,0.79246,0.132046
0.000828,0.862655,0.862655,0.143742
0.000928,0.919245,0.919245,0.153172
0.001028,0.961339,0.961339,0.160186
0.001128,0.988271,0.988271,0.164673
0.001228,0.999618,0.999618,0.166564
0.001328,0.9952,0.9952,0.165828
0.001428,0.975087,0.975087,0.162477
0.001528,0.939597,0.939597,0.156563
0.001628,0.889289,0.889289,0.14818
0.001728,0.824956,0.824956,0.137461
0.001828,0.747613,0.747613,0.124573
0.001928,0.658479,0.658479,0.109721
0.002028,0.558961,0.558961,0.0931385
0.002128,0.450628,0.450628,0.0750871
0.002228,0.335188,0.335188,0.0558517
0.002328,0.214463,0.214463,0.0357354
0.002428,0.0903544,0.0903544,0.0150555
0.002528,-0.0351785,-0.0351785,-0.00586172
0.002628,-0.160157,-0.160157,-0.0266865
0.002728,-0.282609,-0.282609,-0.0470905
0.002828,-0.400605,-0.400605,-0.0667519
0.002928,-0.512283,-0.512283,-0.0853605
0.003028,-0.615882,-0.615882,-0.102623
0.003128,-0.709767,-0.709767,-0.118267
0.003228,-0.79246,-0.79246,-0.132046
0.003328,-0.862655,-0.862655,-0.143742
0.003428,-0.919245,-0.919245,-0.153172
0.003528,-0.961339,-0.961339,-0.160186
0.003628,-0.988271,-0.988271,-0.164673
0.003728,-0.999618,-0.999618,-0.166564
0.003828,-0.9952,-0.9952,-0.165828
0.003928,-0.975087,-0.975087,-0.162477
0.004028,-0.939597,-0.939597,-0.156563
0.004128,-0.889289,-0.889289,-0.14818
0.004228,-0.824956,-0.824956,-0.137461
0.004328,-0.747613,-0.747613,-0.124573
0.004428,-0.658479,-0.658479,-0.109721
0.004528,-0.558961,-0.558961,-0.0931385
0.004628,-0.450628,-0.450628,-0.0750871
0.004728,-0.335188,-0.335188,-0.0558517
0.004828,-0.214463,-0.214463,-0.0357354
0.004928,-0.0903544,-0.0903544,-0.0150555
0.005,-2.44929e-16,-2.44929e-16,-1.74395e-13
